Total Votes,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%,
"991,292","775,699",78.25%,"203,817",20.56%,"11,776",1.19%,
,,,,,,,
Ward 1,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1125,1009,89.69%,101,8.98%,15,1.33%
2,1105,995,90.05%,100,9.05%,10,0.90%
3,1161,1035,89.15%,114,9.82%,12,1.03%
4,1231,1138,92.45%,86,6.99%,7,0.57%
5,1194,1074,89.95%,107,8.96%,13,1.09%
6,1001,871,87.01%,118,11.79%,12,1.20%
7,1170,1041,88.97%,117,10.00%,12,1.03%
8,1082,936,86.51%,132,12.20%,14,1.29%
9,677,543,80.21%,126,18.61%,8,1.18%
10,1386,1235,89.11%,143,10.32%,8,0.58%
11,1153,1005,87.16%,139,12.06%,9,0.78%
12,594,516,86.87%,67,11.28%,11,1.85%
13,852,754,88.50%,91,10.68%,7,0.82%
14,755,658,87.15%,89,11.79%,8,1.06%
15,1263,1112,88.04%,136,10.77%,15,1.19%
16,1230,1112,90.41%,110,8.94%,8,0.65%
17,765,702,91.76%,56,7.32%,7,0.92%
18,1169,1036,88.62%,122,10.44%,11,0.94%
19,1022,876,85.71%,136,13.31%,10,0.98%
20,1038,909,87.57%,116,11.18%,13,1.25%
21,1109,943,85.03%,150,13.53%,16,1.44%
22,1444,1252,86.70%,172,11.91%,20,1.39%
23,729,622,85.32%,100,13.72%,7,0.96%
24,1367,1180,86.32%,174,12.73%,13,0.95%
25,1319,1119,84.84%,185,14.03%,15,1.14%
26,1255,1010,80.48%,228,18.17%,17,1.35%
Total,"28,196","24,683",87.54%,"3,215",11.40%,298,1.06%
,,,,,,,
Ward 2,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1285,952,74.09%,315,24.51%,18,1.40%
2,1356,1088,80.24%,263,19.40%,5,0.37%
3,1081,883,81.68%,194,17.95%,4,0.37%
4,1131,865,76.48%,251,22.19%,15,1.33%
5,1182,858,72.59%,313,26.48%,11,0.93%
6,1331,1046,78.59%,276,20.74%,9,0.68%
7,1219,915,75.06%,290,23.79%,14,1.15%
8,894,702,78.52%,186,20.81%,6,0.67%
9,1277,968,75.80%,296,23.18%,13,1.02%
10,719,521,72.46%,190,26.43%,8,1.11%
11,1110,844,76.04%,252,22.70%,14,1.26%
12,1049,782,74.55%,255,24.31%,12,1.14%
13,1411,1041,73.78%,347,24.59%,23,1.63%
14,846,628,74.23%,205,24.23%,13,1.54%
15,1031,782,75.85%,243,23.57%,6,0.58%
16,1095,855,78.08%,229,20.91%,11,1.00%
17,1590,1202,75.60%,380,23.90%,8,0.50%
18,1058,761,71.93%,279,26.37%,18,1.70%
19,616,457,74.19%,152,24.68%,7,1.14%
20,749,549,73.30%,190,25.37%,10,1.34%
21,231,150,64.94%,73,31.60%,8,3.46%
22,944,717,75.95%,217,22.99%,10,1.06%
23,975,771,79.08%,189,19.38%,15,1.54%
24,692,551,79.62%,135,19.51%,6,0.87%
25,1207,970,80.36%,219,18.14%,18,1.49%
Total,"26,079","19,858",76.15%,"5,939",22.77%,282,1.08%
,,,,,,,
Ward 3,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1007,920,91.36%,78,7.75%,9,0.89%
2,899,836,92.99%,54,6.01%,9,1.00%
3,808,685,84.78%,112,13.86%,11,1.36%
4,756,705,93.25%,46,6.08%,5,0.66%
5,200,163,81.50%,35,17.50%,2,1.00%
6,1053,922,87.56%,120,11.40%,11,1.04%
7,544,482,88.60%,59,10.85%,3,0.55%
8,914,837,91.58%,66,7.22%,11,1.20%
9,648,580,89.51%,68,10.49%,0,0.00%
10,673,561,83.36%,104,15.45%,8,1.19%
11,1170,1085,92.74%,76,6.50%,9,0.77%
12,1007,940,93.35%,53,5.26%,14,1.39%
13,1191,1023,85.89%,160,13.43%,8,0.67%
14,1389,1142,82.22%,230,16.56%,17,1.22%
15,854,787,92.15%,50,5.85%,17,1.99%
16,497,445,89.54%,50,10.06%,2,0.40%
17,289,269,93.08%,18,6.23%,2,0.69%
18,373,326,87.40%,38,10.19%,9,2.41%
